vehicle_id,ocr,입차,출차
1,8570956,1900-01-01 10:05:51,1900-01-01 10:47:41
2,130무7997,1900-01-01 10:09:52,
3,6910310,1900-01-01 10:15:08,
4,22느4252,1900-01-01 10:24:08,1900-01-01 13:05:32
5,24우5430,1900-01-01 10:25:11,
6,12941247,1900-01-01 10:43:25,1900-01-01 11:42:50
7,3046124,1900-01-01 10:43:29,1900-01-01 11:41:25
8,2267169,,1900-01-01 10:47:17
9,5246879,1900-01-01 10:47:25,
10,1526879,1900-01-01 10:47:27,
11,3467291,1900-01-01 10:51:34,1900-01-01 12:26:50
12,2223760,,1900-01-01 10:51:42
13,254러6823,1900-01-01 10:53:42,1900-01-01 12:22:22
14,3311320,,1900-01-01 10:56:28
15,162로2755,1900-01-01 10:58:06,1900-01-01 14:03:37
16,31두4329,1900-01-01 11:07:15,
17,05조9297,1900-01-01 11:10:07,
18,32315850,,1900-01-01 11:11:35
19,1729814,1900-01-01 12:30:09,1900-01-01 11:18:35
20,35도4831,1900-01-01 11:23:24,1900-01-01 12:30:13
21,2413729,1900-01-01 11:27:06,
22,1153650,1900-01-01 11:32:53,1900-01-01 12:44:44
23,106우2828,1900-01-01 11:34:46,
24,10628694,1900-01-01 11:38:53,1900-01-01 11:47:33
25,18406750,1900-01-01 11:47:03,1900-01-01 15:08:35
26,161우8765,1900-01-01 11:56:53,
27,34리3556,,1900-01-01 11:59:34
28,3400791,1900-01-01 12:00:11,1900-01-01 13:18:22
29,23214674,1900-01-01 12:01:28,
30,2440135,1900-01-01 12:02:17,
31,2401333,,1900-01-01 12:02:53
32,10448800,1900-01-01 12:03:01,1900-01-01 15:27:08
33,139리5360,1900-01-01 12:04:21,
34,194거9876,1900-01-01 12:08:04,1900-01-01 13:37:24
35,54저4308,1900-01-01 12:08:24,1900-01-01 14:21:19
36,40고1894,1900-01-01 12:11:02,1900-01-01 16:19:29
37,7171009,,1900-01-01 12:11:52
38,21리7896,,1900-01-01 12:19:22
39,2221605,1900-01-01 12:26:44,
40,02227605,,
41,3514622,1900-01-01 12:29:22,
42,33548578,1900-01-01 15:55:50,1900-01-01 12:31:41
43,15923838,1900-01-01 12:32:39,
44,2516127,1900-01-01 12:33:05,
45,3096155,1900-01-01 12:33:50,1900-01-01 13:48:16
46,276머1585,1900-01-01 12:35:18,1900-01-01 14:16:28
47,6300640,1900-01-01 12:36:01,1900-01-01 15:55:37
48,55수9458,,1900-01-01 12:39:35
49,130무7997,1900-01-01 12:39:38,
50,6178282,1900-01-01 12:48:06,
51,15297500,,1900-01-01 12:48:56
52,502주1736,1900-01-01 12:52:37,
53,251우9385,1900-01-01 12:52:47,
54,183소5833,,1900-01-01 12:54:50
55,67주8282,1900-01-01 12:57:27,
56,67주8282,1900-01-01 12:57:27,
57,18저0171,1900-01-01 12:58:23,
58,16749550,1900-01-01 12:59:58,
59,3924356,1900-01-01 13:01:49,
60,46주3956,1900-01-01 13:02:03,
61,4549544,1900-01-01 13:02:12,1900-01-01 15:25:13
62,3809970,1900-01-01 13:02:25,1900-01-01 14:01:49
63,25거5781,1900-01-01 13:03:30,1900-01-01 14:26:26
64,71거2858,1900-01-01 13:04:50,
65,5512827,1900-01-01 13:05:46,
66,14두4482,1900-01-01 13:05:56,
67,14824805,1900-01-01 13:07:40,
68,60문5909,1900-01-01 13:08:04,
69,1871164,1900-01-01 13:09:11,
70,255서8242,1900-01-01 13:16:16,
71,66보7917,1900-01-01 13:16:22,
72,21311407,1900-01-01 13:16:26,
73,03리1164,1900-01-01 13:18:30,
74,1601935,,1900-01-01 13:18:43
75,326소2419,1900-01-01 13:24:31,1900-01-01 13:37:32
76,6896415,1900-01-01 13:28:53,
77,6709933,1900-01-01 13:31:43,
78,3395574,1900-01-01 13:37:47,1900-01-01 15:13:06
79,61우8765,1900-01-01 13:40:46,
80,15227500,,1900-01-01 13:41:21
81,89더8081,1900-01-01 13:43:10,1900-01-01 14:52:33
82,16749550,1900-01-01 13:44:26,
83,6546614,1900-01-01 13:45:40,1900-01-01 15:11:11
84,30모6155,1900-01-01 13:48:05,
85,5615907,1900-01-01 13:49:29,1900-01-01 13:50:19
86,55오4496,,1900-01-01 13:52:32
87,65루4087,1900-01-01 13:54:45,1900-01-01 15:08:46
88,51644584,1900-01-01 13:54:52,1900-01-01 14:52:12
89,21103284,1900-01-01 13:57:58,
90,3590164,1900-01-01 14:02:28,
91,222어7169,,1900-01-01 14:03:33
92,23저8506,1900-01-01 14:04:07,1900-01-01 17:50:01
93,5108529,1900-01-01 14:06:09,1900-01-01 15:07:11
94,32주9995,1900-01-01 14:07:08,
95,1142918,1900-01-01 14:08:21,
96,5125283,1900-01-01 14:13:58,
97,2216200,,1900-01-01 14:15:34
98,51오5203,1900-01-01 14:16:06,
99,5912935,1900-01-01 14:16:08,
100,6308235,1900-01-01 14:16:14,
101,1694403,1900-01-01 14:17:30,
102,119서8321,,1900-01-01 14:18:47
103,1483400,1900-01-01 14:19:10,
104,1684410,,1900-01-01 14:20:15
105,5090469,1900-01-01 14:20:52,
106,5055017,1900-01-01 14:20:59,
107,12682341,,1900-01-01 14:21:11
108,37로0651,1900-01-01 14:22:02,
109,37로0651,1900-01-01 14:22:12,
110,60오6801,1900-01-01 14:23:50,1900-01-01 15:51:36
111,53주9052,1900-01-01 14:24:59,
112,3224902,1900-01-01 14:26:46,
113,71고7280,1900-01-01 14:26:51,1900-01-01 15:41:18
114,390서1762,,1900-01-01 14:29:09
115,62주7912,1900-01-01 14:29:49,
116,265루5015,,1900-01-01 14:31:14
117,3433550,,1900-01-01 14:31:31
118,177하5263,1900-01-01 14:35:41,
119,61고2913,1900-01-01 14:36:13,
120,1960819,,1900-01-01 14:36:48
121,2044200,1900-01-01 14:41:24,1900-01-01 17:02:43
122,19조8584,1900-01-01 14:44:23,
123,28033264,,1900-01-01 14:47:27
124,305다8584,,1900-01-01 14:49:28
125,197도3230,,1900-01-01 14:50:11
126,19469710,1900-01-01 14:53:05,1900-01-01 17:17:33
127,57두0198,1900-01-01 14:53:13,
128,24007360,,1900-01-01 14:53:34
129,31소9506,1900-01-01 14:54:02,
130,12고9013,1900-01-01 14:57:35,
131,19수2502,1900-01-01 15:01:46,
132,58406750,,
133,71625659,1900-01-01 15:16:46,1900-01-01 17:18:17
134,150주5837,1900-01-01 15:17:22,1900-01-01 17:37:18
135,62소2808,1900-01-01 15:17:27,1900-01-01 18:10:07
136,2519905,,1900-01-01 15:19:57
137,716우9551,1900-01-01 15:21:27,1900-01-01 16:22:11
138,55고9116,1900-01-01 15:21:40,1900-01-01 16:54:36
139,1856754,1900-01-01 16:55:01,1900-01-01 15:24:27
140,43무7522,1900-01-01 15:25:00,
141,5615997,,1900-01-01 15:25:37
142,22553460,,1900-01-01 15:27:11
143,281거4831,1900-01-01 15:30:20,1900-01-01 17:45:24
144,25674620,1900-01-01 15:33:03,
145,255어1454,1900-01-01 15:33:09,1900-01-01 17:06:11
146,2600862,1900-01-01 15:39:07,
147,107로9970,1900-01-01 15:39:37,
148,391조5163,,1900-01-01 15:41:17
149,105루3367,1900-01-01 15:43:18,1900-01-01 17:50:11
150,21447191,,1900-01-01 15:47:43
151,215소9894,1900-01-01 15:48:46,
152,39243509,1900-01-01 15:49:24,
153,46주3956,,
154,51575441,1900-01-01 15:54:02,1900-01-01 17:21:18
155,335버8578,,1900-01-01 15:56:15
156,24저3946,1900-01-01 15:56:30,1900-01-01 17:50:32
157,353부5955,1900-01-01 16:03:37,1900-01-01 17:28:22
158,2354410,,1900-01-01 16:03:49
159,286서4101,1900-01-01 16:03:50,1900-01-01 17:39:00
160,286서4101,1900-01-01 16:03:56,
161,1342857,,1900-01-01 16:06:02
162,2803597,1900-01-01 16:07:13,1900-01-01 17:35:35
163,4252939,1900-01-01 16:21:38,
164,6233194,1900-01-01 16:25:18,
165,2604079,1900-01-01 16:25:32,1900-01-01 18:54:02
166,126무2347,,1900-01-01 16:32:53
167,4155383,1900-01-01 16:36:06,
168,5274912,1900-01-01 16:36:13,1900-01-01 17:34:58
169,5195283,1900-01-01 16:40:04,
170,1947606,1900-01-01 16:44:00,
171,16003522,1900-01-01 16:44:22,
172,52두3634,1900-01-01 16:51:07,
173,17647514,1900-01-01 16:53:54,
